Location,Period,Indicator,Dim1,Tooltip,FactValueForMeasure,FactValueString
Afghanistan,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,307.2,307.2,307.2
Afghanistan,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,330,330,330
Afghanistan,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,283.2,283.2,283.2
Afghanistan,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,316,316,316
Afghanistan,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,340.4,340.4,340.4
Afghanistan,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,290.1,290.1,290.1
Albania,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,96.41,96.41,96.41
Albania,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,121.8,121.8,121.8
Albania,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,71.1,71.1,71.1
Albania,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,92.24,92.24,92.24
Albania,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,117.8,117.8,117.8
Albania,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,66.46,66.46,66.46
Albania,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,98.32,98.32,98.32
Albania,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,124.1,124.1,124.1
Albania,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,72.36,72.36,72.36
Albania,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,100.3,100.3,100.3
Albania,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,126.6,126.6,126.6
Albania,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,73.87,73.87,73.87
Albania,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,103.2,103.2,103.2
Albania,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,129.5,129.5,129.5
Albania,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,76.58,76.58,76.58
Albania,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,103.2,103.2,103.2
Albania,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,133.6,133.6,133.6
Albania,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,72.31,72.31,72.31
Albania,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,103.5,103.5,103.5
Albania,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,133.6,133.6,133.6
Albania,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,72.55,72.55,72.55
Albania,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,102.8,102.8,102.8
Albania,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,132.8,132.8,132.8
Albania,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,71.9,71.9,71.9
Albania,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,102.2,102.2,102.2
Albania,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,131.2,131.2,131.2
Albania,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,72.09,72.09,72.09
Albania,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,101.3,101.3,101.3
Albania,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,129.7,129.7,129.7
Albania,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,71.52,71.52,71.52
Albania,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,100.7,100.7,100.7
Albania,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,127.6,127.6,127.6
Albania,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,72.42,72.42,72.42
Albania,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,105.7,105.7,105.7
Albania,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,124.8,124.8,124.8
Albania,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,85.42,85.42,85.42
Albania,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,101.3,101.3,101.3
Albania,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,127.3,127.3,127.3
Albania,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,73.71,73.71,73.71
Albania,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,106.8,106.8,106.8
Albania,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,129.4,129.4,129.4
Albania,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,82.29,82.29,82.29
Albania,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,102.3,102.3,102.3
Albania,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,125.7,125.7,125.7
Albania,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,76.86,76.86,76.86
Albania,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,100.4,100.4,100.4
Albania,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,125.4,125.4,125.4
Albania,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,72.83,72.83,72.83
Albania,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,106.1,106.1,106.1
Albania,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,133.4,133.4,133.4
Albania,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,76.43,76.43,76.43
Algeria,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,95.03,95.03,95.03
Algeria,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,106.1,106.1,106.1
Algeria,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,83.65,83.65,83.65
Algeria,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,96.49,96.49,96.49
Algeria,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,107.6,107.6,107.6
Algeria,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,84.96,84.96,84.96
Algeria,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,98.04,98.04,98.04
Algeria,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,109.3,109.3,109.3
Algeria,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,86.34,86.34,86.34
Algeria,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,99.71,99.71,99.71
Algeria,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,111.2,111.2,111.2
Algeria,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,87.81,87.81,87.81
Algeria,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,101.5,101.5,101.5
Algeria,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,113.2,113.2,113.2
Algeria,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,89.3,89.3,89.3
Algeria,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,102.9,102.9,102.9
Algeria,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,114.7,114.7,114.7
Algeria,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,90.59,90.59,90.59
Algeria,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,104.4,104.4,104.4
Algeria,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,116.2,116.2,116.2
Algeria,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,91,92,91
Algeria,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,106.9,106.9,106.9
Algeria,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,119.3,119.3,119.3
Algeria,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,93.96,93.96,93.96
Algeria,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,108.4,108.4,108.4
Algeria,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,120.7,120.7,120.7
Algeria,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,95.57,95.57,95.57
Algeria,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,111.3,111.3,111.3
Algeria,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,124.2,124.2,124.2
Algeria,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,97.91,97.91,97.91
Algeria,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,114.7,114.7,114.7
Algeria,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,127,128,127
Algeria,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,100.9,100.9,100.9
Algeria,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,119.3,119.3,119.3
Algeria,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,133.5,133.5,133.5
Algeria,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,104.7,104.7,104.7
Algeria,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,125.1,125.1,125.1
Algeria,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,140.6,140.6,140.6
Algeria,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,109.1,109.1,109.1
Algeria,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,133.2,133.2,133.2
Algeria,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,150.4,150.4,150.4
Algeria,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,115.5,115.5,115.5
Algeria,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,134.7,134.7,134.7
Algeria,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,151.7,151.7,151.7
Algeria,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,117.1,117.1,117.1
Algeria,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,138.8,138.8,138.8
Algeria,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,155,156,155
Algeria,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,121.1,121.1,121.1
Algeria,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,141.9,141.9,141.9
Algeria,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,159.7,159.7,159.7
Algeria,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,123.7,123.7,123.7
Angola,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,237,238,237
Angola,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,275.2,275.2,275.2
Angola,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,201.8,201.8,201.8
Angola,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,239.8,239.8,239.8
Angola,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,277,278,277
Angola,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,202.7,202.7,202.7
Angola,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,243.9,243.9,243.9
Angola,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,281.8,281.8,281.8
Angola,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,207.2,207.2,207.2
Angola,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,249.3,249.3,249.3
Angola,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,285.9,285.9,285.9
Angola,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,213.7,213.7,213.7
Angola,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,253.2,253.2,253.2
Angola,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,290,290,290
Angola,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,217.5,217.5,217.5
Angola,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,260.1,260.1,260.1
Angola,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,297.5,297.5,297.5
Angola,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,223.8,223.8,223.8
Angola,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,269.7,269.7,269.7
Angola,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,307.2,307.2,307.2
Angola,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,233.3,233.3,233.3
Angola,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,281,281,281
Angola,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,318.6,318.6,318.6
Angola,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,244.6,244.6,244.6
Angola,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,292.2,292.2,292.2
Angola,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,329.4,329.4,329.4
Angola,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,255.9,255.9,255.9
Angola,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,302.8,302.8,302.8
Angola,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,339.7,339.7,339.7
Angola,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,266.9,266.9,266.9
Angola,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,313.7,313.7,313.7
Angola,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,349.6,349.6,349.6
Angola,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,278.8,278.8,278.8
Angola,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,322.7,322.7,322.7
Angola,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,358.1,358.1,358.1
Angola,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,288.3,288.3,288.3
Angola,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,333.9,333.9,333.9
Angola,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,370,370,370
Angola,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,298.6,298.6,298.6
Angola,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,343.2,343.2,343.2
Angola,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,379.2,379.2,379.2
Angola,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,308.1,308.1,308.1
Angola,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,354.5,354.5,354.5
Angola,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,391.1,391.1,391.1
Angola,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,318.7,318.7,318.7
Angola,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,372.4,372.4,372.4
Angola,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,412.5,412.5,412.5
Angola,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,332.9,332.9,332.9
Angola,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,383.6,383.6,383.6
Angola,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,423,423,423
Angola,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,344.7,344.7,344.7
Antigua and Barbuda,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,119.9,119.9,119.9
Antigua and Barbuda,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,136.8,136.8,136.8
Antigua and Barbuda,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,104.3,104.3,104.3
Antigua and Barbuda,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,121.9,121.9,121.9
Antigua and Barbuda,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,140,140,140
Antigua and Barbuda,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,105.2,105.2,105.2
Antigua and Barbuda,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,126.6,126.6,126.6
Antigua and Barbuda,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,143,144,143
Antigua and Barbuda,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,110.6,110.6,110.6
Antigua and Barbuda,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,126,127,126
Antigua and Barbuda,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,146.3,146.3,146.3
Antigua and Barbuda,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,108.9,108.9,108.9
Antigua and Barbuda,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,127.1,127.1,127.1
Antigua and Barbuda,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,151,151,151
Antigua and Barbuda,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,104.2,104.2,104.2
Antigua and Barbuda,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,128.2,128.2,128.2
Antigua and Barbuda,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,157.1,157.1,157.1
Antigua and Barbuda,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,100.3,100.3,100.3
Antigua and Barbuda,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,134.6,134.6,134.6
Antigua and Barbuda,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,165.3,165.3,165.3
Antigua and Barbuda,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,104.9,104.9,104.9
Antigua and Barbuda,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,138.2,138.2,138.2
Antigua and Barbuda,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,167.5,167.5,167.5
Antigua and Barbuda,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,109.7,109.7,109.7
Antigua and Barbuda,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,146.8,146.8,146.8
Antigua and Barbuda,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,171.8,171.8,171.8
Antigua and Barbuda,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,122.3,122.3,122.3
Antigua and Barbuda,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,148,149,148
Antigua and Barbuda,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,172.9,172.9,172.9
Antigua and Barbuda,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,125.4,125.4,125.4
Antigua and Barbuda,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,155.1,155.1,155.1
Antigua and Barbuda,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,181.1,181.1,181.1
Antigua and Barbuda,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,129.2,129.2,129.2
Antigua and Barbuda,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,156.1,156.1,156.1
Antigua and Barbuda,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,186.8,186.8,186.8
Antigua and Barbuda,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,125.1,125.1,125.1
Antigua and Barbuda,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,152.8,152.8,152.8
Antigua and Barbuda,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,181,181,181
Antigua and Barbuda,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,124.6,124.6,124.6
Antigua and Barbuda,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,151.2,151.2,151.2
Antigua and Barbuda,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,175.8,175.8,175.8
Antigua and Barbuda,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,127.1,127.1,127.1
Antigua and Barbuda,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,148.9,148.9,148.9
Antigua and Barbuda,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,171.3,171.3,171.3
Antigua and Barbuda,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,127.7,127.7,127.7
Antigua and Barbuda,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,154.5,154.5,154.5
Antigua and Barbuda,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,178,179,178
Antigua and Barbuda,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,131.4,131.4,131.4
Antigua and Barbuda,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,156.7,156.7,156.7
Antigua and Barbuda,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,183,183,183
